T X Y S0 S1 S2 
0 8852.61 7872.045 5 17 26 
1 8861.117 7861.481 4 12 28 
2 8867.553 7854.109 5 16 21 
3 8871.464 7849.583 4 14 29 
4 8888.569 7824.898 5 10 20 
5 8871.464 7849.583 4 14 26 
6 8867.553 7854.109 3 16 24 
7 8861.117 7861.481 4 17 26 
8 8852.61 7872.045 4 18 22 
9 8861.117 7861.481 3 17 24 
10 8867.553 7854.109 3 15 28 
11 8871.464 7849.583 3 10 22 
12 8888.569 7824.898 3 14 25 
13 8871.464 7849.583 4 13 23 
14 8867.553 7854.109 5 15 26 
15 8861.117 7861.481 5 17 26 
16 8852.61 7872.045 4 17 25 
17 8861.117 7861.481 4 16 24 
18 8867.553 7854.109 4 15 20 
19 8871.464 7849.583 5 18 26 
20 8888.569 7824.898 4 13 21 
21 8871.464 7849.583 4 18 23 
22 8867.553 7854.109 3 18 29 
23 8861.117 7861.481 3 12 26 
24 8852.61 7872.045 4 18 22 
25 8861.117 7861.481 3 15 21 
26 8867.553 7854.109 5 17 21 
27 8871.464 7849.583 4 17 27 
28 8888.569 7824.898 5 10 27 
29 8888.569 7824.898 3 19 27 
