T X Y S0 S1 S2 
0 8158.401 9405.423 3 18 25 
1 8158.401 9405.423 5 17 25 
2 8158.401 9405.423 5 15 27 
3 8158.401 9405.423 4 12 28 
4 8158.401 9405.423 5 11 28 
5 8158.401 9405.423 5 13 27 
6 8158.401 9405.423 4 15 23 
7 8158.401 9405.423 4 11 20 
8 8158.401 9405.423 4 13 22 
9 8158.401 9405.423 4 10 20 
10 8158.401 9405.423 3 17 26 
11 8158.401 9405.423 4 17 24 
12 8158.401 9405.423 3 18 23 
13 8158.401 9405.423 3 14 25 
14 8158.401 9405.423 5 18 27 
15 8158.401 9405.423 3 19 29 
16 8158.401 9405.423 5 10 24 
17 8158.401 9405.423 3 18 28 
18 8158.401 9405.423 3 14 21 
19 8158.401 9405.423 3 11 23 
20 8158.401 9405.423 4 19 21 
21 8158.401 9405.423 5 15 23 
22 8158.401 9405.423 5 16 22 
23 8158.401 9405.423 4 13 20 
24 8158.401 9405.423 5 15 23 
25 8158.401 9405.423 5 15 28 
26 8158.401 9405.423 5 11 24 
27 8158.401 9405.423 4 10 20 
28 8158.401 9405.423 5 14 28 
29 8158.401 9405.423 5 13 24 
