T X Y S0 S1 S2 
0 10557.106 11442.736 5 18 20 
1 10505.957 11393.477 4 12 26 
2 10355.903 11261.044 4 10 20 
3 10270.736 11181.984 5 12 22 
4 10355.903 11261.044 3 16 26 
5 10505.957 11393.477 3 12 28 
6 10557.106 11442.736 5 16 24 
7 10505.957 11393.477 3 19 22 
8 10355.903 11261.044 4 11 22 
9 10270.736 11181.984 3 10 29 
10 10355.903 11261.044 5 17 27 
11 10505.957 11393.477 3 12 23 
12 10557.106 11442.736 3 19 21 
13 10505.957 11393.477 3 17 29 
14 10355.903 11261.044 3 18 25 
15 10270.736 11181.984 3 19 27 
16 10355.903 11261.044 4 13 29 
17 10505.957 11393.477 3 17 28 
18 10557.106 11442.736 4 17 27 
19 10505.957 11393.477 4 15 25 
20 10355.903 11261.044 4 15 23 
21 10270.736 11181.984 4 13 26 
22 10355.903 11261.044 3 12 21 
23 10505.957 11393.477 4 13 25 
24 10557.106 11442.736 4 19 24 
25 10505.957 11393.477 5 18 29 
26 10355.903 11261.044 5 11 22 
27 10270.736 11181.984 5 12 22 
28 10355.903 11261.044 5 14 28 
29 10355.903 11261.044 5 11 21 
