T X Y S0 S1 S2 
4 11035.027 8579.133 5 16 24 
5 10825.234 8555.894 3 11 20 
6 10769.02 8549.889 3 16 27 
7 10671.301 8540.326 5 14 24 
8 10662.37 8539.437 3 11 28 
9 10546.439 8526.761 5 16 25 
10 10423.679 8512.972 5 11 25 
11 10392.333 8509.414 5 11 24 
12 10347.064 8504.299 5 14 24 
13 10160.032 8484.173 5 18 20 
14 10133.062 8482.394 5 14 28 
15 10104.249 8483.061 5 19 24 
16 10079.026 8484.729 3 15 20 
17 10060.545 8486.842 4 11 21 
18 10041.887 8490.622 3 18 24 
19 10025.068 8494.959 4 18 26 
20 10002.115 8501.631 4 11 27 
21 9981.438 8509.637 4 10 25 
22 9973.509 8512.984 4 11 29 
23 9959.796 8518.755 3 19 25 
24 9942.916 8529.729 4 14 28 
25 9927.982 8539.437 3 10 22 
26 9889.505 8566.235 3 17 22 
27 9834.551 8604.597 3 17 25 
28 9818.599 8615.717 4 18 26 
29 9818.599 8615.717 4 17 26 
