T X Y S0 S1 S2 
0 8538.851 11964.218 4 11 24 
1 8556.902 12013.344 4 14 22 
2 8560.715 12024.619 3 18 27 
3 8566.081 12041.243 5 15 28 
4 8560.715 12024.619 4 18 25 
5 8556.902 12013.344 5 10 20 
6 8538.851 11964.218 5 12 25 
7 8556.902 12013.344 3 12 28 
8 8560.715 12024.619 4 18 29 
9 8566.081 12041.243 4 18 28 
10 8560.715 12024.619 5 13 22 
11 8556.902 12013.344 4 13 22 
12 8538.851 11964.218 4 19 29 
13 8556.902 12013.344 4 19 25 
14 8560.715 12024.619 4 16 24 
15 8566.081 12041.243 3 15 27 
16 8560.715 12024.619 4 12 24 
17 8556.902 12013.344 5 10 23 
18 8538.851 11964.218 5 16 20 
19 8556.902 12013.344 3 19 21 
20 8560.715 12024.619 4 14 26 
21 8566.081 12041.243 5 11 26 
22 8560.715 12024.619 4 13 24 
23 8556.902 12013.344 3 11 25 
24 8538.851 11964.218 5 13 22 
25 8556.902 12013.344 5 14 24 
26 8560.715 12024.619 4 14 22 
27 8566.081 12041.243 3 17 26 
28 8560.715 12024.619 5 14 25 
29 8560.715 12024.619 3 15 20 
