T X Y S0 S1 S2 
5 8052.062 9221.473 3 11 28 
6 8114.424 9276.592 5 19 27 
7 8127.958 9288.557 4 17 28 
8 8114.424 9276.592 4 19 23 
9 8052.062 9221.473 4 17 22 
10 8046.944 9216.947 4 14 21 
11 8052.062 9221.473 5 17 28 
12 8114.424 9276.592 3 14 21 
13 8127.958 9288.557 3 14 23 
14 8114.424 9276.592 4 14 22 
15 8052.062 9221.473 3 19 21 
16 8046.944 9216.947 3 12 20 
17 8052.062 9221.473 3 17 26 
18 8114.424 9276.592 5 18 20 
19 8127.958 9288.557 3 19 25 
20 8114.424 9276.592 5 12 23 
21 8052.062 9221.473 3 12 23 
22 8046.944 9216.947 3 19 29 
23 8052.062 9221.473 3 11 27 
24 8114.424 9276.592 3 14 25 
25 8127.958 9288.557 3 14 28 
26 8114.424 9276.592 5 13 25 
27 8052.062 9221.473 4 10 25 
28 8046.944 9216.947 3 15 25 
29 8046.944 9216.947 4 15 22 
