T X Y S0 S1 S2 
0 9028.698 8496.916 5 10 22 
1 9095.636 8507.524 4 16 23 
2 9159.881 8522.202 5 19 22 
3 9095.636 8507.524 5 10 29 
4 9028.698 8496.916 3 15 24 
5 9095.636 8507.524 3 13 27 
6 9159.881 8522.202 4 18 27 
7 9095.636 8507.524 3 16 26 
8 9028.698 8496.916 3 11 21 
9 9095.636 8507.524 3 10 23 
10 9159.881 8522.202 3 13 23 
11 9095.636 8507.524 3 18 20 
12 9028.698 8496.916 4 17 24 
13 9095.636 8507.524 5 14 29 
14 9159.881 8522.202 5 16 20 
15 9095.636 8507.524 4 10 24 
16 9028.698 8496.916 5 19 22 
17 9095.636 8507.524 3 18 25 
18 9159.881 8522.202 5 15 23 
19 9095.636 8507.524 4 14 27 
20 9028.698 8496.916 4 15 21 
21 9095.636 8507.524 4 15 29 
22 9159.881 8522.202 3 18 29 
23 9095.636 8507.524 5 13 23 
24 9028.698 8496.916 4 13 22 
25 9095.636 8507.524 4 11 23 
26 9159.881 8522.202 5 12 29 
27 9095.636 8507.524 5 10 29 
28 9028.698 8496.916 5 10 23 
29 9028.698 8496.916 4 17 26 
