T X Y S0 S1 S2 
0 7133.483 9528.182 3 17 27 
1 7069.663 9522.645 4 15 27 
2 6998.367 9516.451 5 16 28 
3 7069.663 9522.645 4 11 27 
4 7133.483 9528.182 3 11 26 
5 7069.663 9522.645 5 19 23 
6 6998.367 9516.451 5 19 26 
7 7069.663 9522.645 5 13 29 
8 7133.483 9528.182 5 14 23 
9 7069.663 9522.645 5 16 22 
10 6998.367 9516.451 5 17 29 
11 7069.663 9522.645 4 14 24 
12 7133.483 9528.182 3 13 29 
13 7069.663 9522.645 5 17 22 
14 6998.367 9516.451 5 15 27 
15 7069.663 9522.645 5 19 25 
16 7133.483 9528.182 4 19 27 
17 7069.663 9522.645 5 10 20 
18 6998.367 9516.451 3 19 29 
19 7069.663 9522.645 5 10 27 
20 7133.483 9528.182 5 16 29 
21 7069.663 9522.645 5 19 28 
22 6998.367 9516.451 5 17 22 
23 7069.663 9522.645 5 18 27 
24 7133.483 9528.182 3 17 28 
25 7069.663 9522.645 5 15 22 
26 6998.367 9516.451 4 18 28 
27 7069.663 9522.645 4 17 28 
28 7133.483 9528.182 3 10 29 
29 7133.483 9528.182 3 16 23 
