T X Y S0 S1 S2 
0 5090.933 12101.344 4 14 22 
1 5090.933 12101.344 4 15 23 
2 5090.933 12101.344 4 15 20 
3 5090.933 12101.344 3 14 26 
4 5090.933 12101.344 5 10 28 
5 5090.933 12101.344 4 10 24 
6 5090.933 12101.344 4 10 27 
7 5090.933 12101.344 5 12 21 
8 5090.933 12101.344 4 12 21 
9 5090.933 12101.344 5 12 29 
10 5090.933 12101.344 3 18 28 
11 5090.933 12101.344 5 12 26 
12 5090.933 12101.344 4 13 25 
13 5090.933 12101.344 3 19 21 
14 5090.933 12101.344 4 14 28 
15 5090.933 12101.344 4 15 25 
16 5090.933 12101.344 3 13 23 
17 5090.933 12101.344 5 12 25 
18 5090.933 12101.344 4 19 29 
19 5090.933 12101.344 3 14 25 
20 5090.933 12101.344 3 19 21 
21 5090.933 12101.344 4 15 26 
22 5090.933 12101.344 5 12 27 
23 5090.933 12101.344 3 13 29 
24 5090.933 12101.344 3 15 25 
25 5090.933 12101.344 3 11 22 
26 5090.933 12101.344 4 10 25 
27 5090.933 12101.344 4 14 26 
28 5090.933 12101.344 5 18 25 
29 5090.933 12101.344 4 17 29 
