T X Y S0 S1 S2 
2 7365.816 9621.119 5 19 29 
3 7347.285 9595.044 3 13 29 
4 7333.284 9565.577 5 12 23 
5 7331.528 9561.385 3 11 29 
6 7333.284 9565.577 4 16 21 
7 7347.285 9595.044 5 17 25 
8 7365.816 9621.119 3 14 25 
9 7375.812 9634.318 5 11 27 
10 7365.816 9621.119 3 15 26 
11 7347.285 9595.044 3 15 25 
12 7333.284 9565.577 4 15 21 
13 7331.528 9561.385 4 12 29 
14 7333.284 9565.577 5 19 20 
15 7347.285 9595.044 5 19 24 
16 7365.816 9621.119 5 13 21 
17 7375.812 9634.318 5 16 26 
18 7365.816 9621.119 4 14 25 
19 7347.285 9595.044 5 14 24 
20 7333.284 9565.577 5 11 24 
21 7331.528 9561.385 4 10 24 
22 7333.284 9565.577 4 10 29 
23 7347.285 9595.044 5 10 22 
24 7365.816 9621.119 5 19 29 
25 7375.812 9634.318 5 12 25 
26 7365.816 9621.119 5 15 29 
27 7347.285 9595.044 3 18 27 
28 7333.284 9565.577 3 12 22 
29 7333.284 9565.577 3 11 28 
