T X Y S0 S1 S2 
9 8303.578 8928.664 4 18 24 
10 8299.685 8933.289 4 16 24 
11 8303.578 8928.664 3 11 29 
12 8321.569 8907.314 3 19 28 
13 8303.578 8928.664 5 18 24 
14 8299.685 8933.289 3 14 28 
15 8303.578 8928.664 5 19 25 
16 8321.569 8907.314 4 14 23 
17 8303.578 8928.664 3 10 20 
18 8299.685 8933.289 3 15 29 
19 8303.578 8928.664 3 12 21 
20 8321.569 8907.314 4 16 25 
21 8303.578 8928.664 4 16 28 
22 8299.685 8933.289 4 12 29 
23 8303.578 8928.664 3 16 27 
24 8321.569 8907.314 4 15 20 
25 8303.578 8928.664 3 13 20 
26 8299.685 8933.289 4 18 26 
27 8303.578 8928.664 4 17 22 
28 8321.569 8907.314 4 12 26 
29 8321.569 8907.314 4 16 29 
