T X Y S0 S1 S2 
10 8862.373 7890.381 4 18 28 
11 8861.609 7891.949 5 18 21 
12 8822.168 7992.102 4 15 20 
13 8818.385 8000.664 3 17 27 
14 8815.758 8008.036 4 12 27 
15 8803.29 8045.731 4 18 27 
16 8775.325 8144.539 5 15 29 
17 8773.048 8152.034 3 10 28 
18 8768.477 8167.879 3 10 22 
19 8757.77 8204.951 4 14 24 
20 8747.978 8238.866 3 13 20 
21 8734.142 8286.791 5 17 29 
22 8732.788 8291.472 5 17 27 
23 8731.61 8295.786 3 10 27 
24 8719.697 8339.453 3 10 23 
25 8715.556 8354.631 3 10 23 
26 8714.44 8358.512 4 15 27 
27 8708.612 8378.76 5 16 25 
28 8703.688 8396.774 5 14 21 
29 8703.688 8396.774 3 13 28 
