T X Y S0 S1 S2 
2 8447.522 9074.184 5 16 28 
3 8404.133 9123.989 5 17 22 
4 8377.954 9154.778 5 17 25 
5 8375.902 9157.236 4 11 21 
6 8368.696 9165.375 4 18 25 
7 8344.254 9193.63 4 17 24 
8 8336.863 9202.125 3 15 28 
9 8333.313 9206.206 5 10 25 
10 8330.007 9210.009 3 18 25 
11 8321.17 9220.172 4 14 21 
12 8311.343 9231.47 5 12 28 
13 8289.233 9256.9 5 17 22 
14 8284.727 9262.093 3 15 22 
15 8278.967 9268.586 5 16 26 
16 8252.58 9298.331 4 17 27 
17 8209.747 9346.612 5 12 26 
18 8203.549 9353.606 5 10 21 
19 8209.747 9346.612 5 15 28 
20 8252.58 9298.331 4 13 27 
21 8278.967 9268.586 5 15 28 
22 8284.727 9262.093 3 18 29 
23 8289.233 9256.9 4 15 21 
24 8311.343 9231.47 5 16 24 
25 8321.17 9220.172 5 17 27 
26 8330.007 9210.009 3 12 21 
27 8333.313 9206.206 5 12 25 
28 8336.863 9202.125 4 18 28 
29 8336.863 9202.125 3 18 29 
