T X Y S0 S1 S2 
0 9007.796 8447.757 5 11 23 
1 9006.64 8455.707 5 16 26 
2 9006.163 8467.116 5 10 25 
3 9006.669 8469.339 4 11 29 
4 9008.743 8478.369 4 19 29 
5 9015.119 8485.518 3 18 24 
6 9028.698 8496.916 4 17 22 
7 9015.119 8485.518 5 16 25 
8 9008.743 8478.369 4 14 27 
9 9006.669 8469.339 5 11 22 
10 9006.163 8467.116 5 16 21 
11 9006.64 8455.707 5 11 28 
12 9007.796 8447.757 3 15 25 
13 9006.64 8455.707 5 13 26 
14 9006.163 8467.116 3 17 24 
15 9006.669 8469.339 3 11 23 
16 9008.743 8478.369 4 14 24 
17 9015.119 8485.518 3 12 25 
18 9028.698 8496.916 5 11 22 
19 9015.119 8485.518 3 12 27 
20 9008.743 8478.369 5 17 27 
21 9006.669 8469.339 3 16 24 
22 9006.163 8467.116 5 17 26 
23 9006.64 8455.707 3 15 23 
24 9007.796 8447.757 3 16 20 
25 9006.64 8455.707 4 10 22 
26 9006.163 8467.116 5 13 23 
27 9006.669 8469.339 3 16 21 
28 9008.743 8478.369 5 15 27 
29 9008.743 8478.369 3 14 23 
