T X Y S0 S1 S2 
5 6362.816 3801.365 4 15 24 
6 6364.538 3807.47 3 17 20 
7 6366.687 3815.065 3 19 23 
8 6386.899 3886.796 4 15 29 
9 6366.687 3815.065 5 19 28 
10 6364.538 3807.47 3 16 29 
11 6362.816 3801.365 5 16 22 
12 6339.013 3716.891 4 16 21 
13 6362.816 3801.365 5 11 28 
14 6364.538 3807.47 4 13 26 
15 6366.687 3815.065 3 15 28 
16 6386.899 3886.796 5 16 29 
17 6366.687 3815.065 3 17 25 
18 6364.538 3807.47 3 13 28 
19 6362.816 3801.365 5 16 24 
20 6339.013 3716.891 4 18 29 
21 6362.816 3801.365 4 13 22 
22 6364.538 3807.47 3 12 24 
23 6366.687 3815.065 4 16 23 
24 6386.899 3886.796 5 10 21 
25 6366.687 3815.065 3 18 20 
26 6364.538 3807.47 3 12 26 
27 6362.816 3801.365 4 16 27 
28 6339.013 3716.891 5 10 27 
29 6339.013 3716.891 4 17 28 
