T X Y S0 S1 S2 
5 2897.49 9044.873 5 18 24 
6 2837.017 9040.926 5 16 20 
7 2647.133 9021.1 4 18 28 
8 2489.823 9004.676 5 13 20 
9 2647.133 9021.1 4 14 21 
10 2837.017 9040.926 3 11 23 
11 2897.49 9044.873 4 17 21 
12 2937.57 9044.929 3 13 23 
13 2897.49 9044.873 3 10 24 
14 2837.017 9040.926 3 18 23 
15 2647.133 9021.1 3 10 23 
16 2489.823 9004.676 4 11 25 
17 2647.133 9021.1 4 13 21 
18 2837.017 9040.926 3 12 28 
19 2897.49 9044.873 3 16 24 
20 2937.57 9044.929 3 11 20 
21 2897.49 9044.873 5 11 22 
22 2837.017 9040.926 5 19 25 
23 2647.133 9021.1 4 12 24 
24 2489.823 9004.676 3 18 28 
25 2647.133 9021.1 4 11 24 
26 2837.017 9040.926 3 17 22 
27 2897.49 9044.873 3 10 27 
28 2937.57 9044.929 5 16 27 
29 2937.57 9044.929 3 14 23 
