T X Y S0 S1 S2 
2 8779.285 9872.086 5 15 20 
3 8858.599 9941.749 5 14 28 
4 8950.394 10022.355 5 14 26 
5 8954.846 10026.269 4 16 25 
6 9021.71 10084.991 4 14 28 
7 9141.281 10190.003 5 10 23 
8 9233.866 10271.309 4 19 25 
9 9244.607 10280.749 4 18 21 
10 9325.435 10351.736 5 16 23 
11 9400.707 10417.842 4 16 24 
12 9464.555 10473.917 5 19 26 
13 9562.749 10560.16 4 12 27 
14 9663.818 10648.916 3 15 25 
15 9852.551 10814.685 5 13 25 
16 9930.333 10883.003 5 13 23 
17 10009.242 10952.3 4 11 29 
18 10088.15 11021.608 4 12 21 
19 10181.73 11103.803 5 17 22 
20 10261.177 11173.589 4 16 23 
21 10270.736 11181.984 3 15 28 
22 10261.177 11173.589 5 15 27 
23 10181.73 11103.803 4 11 24 
24 10088.15 11021.608 4 10 23 
25 10009.242 10952.3 5 18 26 
26 9930.333 10883.003 3 13 24 
27 9852.551 10814.685 4 17 20 
28 9663.818 10648.916 3 14 20 
29 9663.818 10648.916 5 11 29 
