T X Y S0 S1 S2 
0 11980.756 8676.095 5 12 25 
1 11980.756 8676.095 4 19 21 
2 11980.756 8676.095 4 16 21 
3 11980.756 8676.095 5 19 21 
4 11980.756 8676.095 5 19 24 
5 11980.756 8676.095 3 12 26 
6 11980.756 8676.095 3 14 26 
7 11980.756 8676.095 3 10 25 
8 11980.756 8676.095 3 16 21 
9 11980.756 8676.095 5 18 21 
10 11980.756 8676.095 4 16 28 
11 11980.756 8676.095 5 14 26 
12 11980.756 8676.095 4 16 24 
13 11980.756 8676.095 5 14 24 
14 11980.756 8676.095 5 11 20 
15 11980.756 8676.095 4 13 29 
16 11980.756 8676.095 3 19 23 
17 11980.756 8676.095 3 16 28 
18 11980.756 8676.095 4 12 26 
19 11980.756 8676.095 4 12 27 
20 11980.756 8676.095 3 15 21 
21 11980.756 8676.095 4 18 23 
22 11980.756 8676.095 3 15 22 
23 11980.756 8676.095 5 17 20 
24 11980.756 8676.095 4 19 24 
25 11980.756 8676.095 4 12 21 
26 11980.756 8676.095 4 17 20 
27 11980.756 8676.095 3 13 20 
28 11980.756 8676.095 4 14 25 
29 11980.756 8676.095 5 15 22 
