T X Y S0 S1 S2 
0 5938.246 11377.665 3 15 29 
1 5938.246 11377.665 3 12 26 
2 5938.246 11377.665 5 18 24 
3 5938.246 11377.665 5 15 27 
4 5938.246 11377.665 3 10 23 
5 5938.246 11377.665 3 11 24 
6 5938.246 11377.665 3 18 29 
7 5938.246 11377.665 3 14 27 
8 5938.246 11377.665 4 19 26 
9 5938.246 11377.665 4 15 27 
10 5938.246 11377.665 5 11 21 
11 5938.246 11377.665 5 10 27 
12 5938.246 11377.665 4 13 26 
13 5938.246 11377.665 5 15 20 
14 5938.246 11377.665 5 11 27 
15 5938.246 11377.665 3 14 26 
16 5938.246 11377.665 3 15 21 
17 5938.246 11377.665 5 10 23 
18 5938.246 11377.665 4 19 27 
19 5938.246 11377.665 5 18 24 
20 5938.246 11377.665 5 14 27 
21 5938.246 11377.665 5 12 21 
22 5938.246 11377.665 4 11 27 
23 5938.246 11377.665 3 18 22 
24 5938.246 11377.665 3 10 21 
25 5938.246 11377.665 4 13 22 
26 5938.246 11377.665 5 13 23 
27 5938.246 11377.665 3 18 27 
28 5938.246 11377.665 4 16 25 
29 5938.246 11377.665 3 16 21 
