T X Y S0 S1 S2 
3 8378.528 9005.277 4 14 26 
4 8383.025 9009.113 5 14 24 
5 8441.501 9061.541 5 10 26 
6 8444.301 9064.054 5 12 26 
7 8451.213 9069.948 4 11 23 
8 8444.301 9064.054 3 11 29 
9 8441.501 9061.541 3 13 20 
10 8383.025 9009.113 3 11 29 
11 8378.528 9005.277 3 13 29 
12 8366.061 8994.647 4 15 26 
13 8378.528 9005.277 3 17 26 
14 8383.025 9009.113 4 14 27 
15 8441.501 9061.541 5 14 20 
16 8444.301 9064.054 3 12 26 
17 8451.213 9069.948 4 11 22 
18 8444.301 9064.054 3 18 25 
19 8441.501 9061.541 5 15 29 
20 8383.025 9009.113 3 13 23 
21 8378.528 9005.277 3 18 25 
22 8366.061 8994.647 4 11 22 
23 8378.528 9005.277 3 12 22 
24 8383.025 9009.113 3 12 25 
25 8441.501 9061.541 3 16 24 
26 8444.301 9064.054 3 11 23 
27 8451.213 9069.948 5 12 25 
28 8444.301 9064.054 3 16 25 
29 8444.301 9064.054 5 18 27 
