T X Y S0 S1 S2 
3 6606.944 10810.704 4 18 28 
4 6568.75 10839.837 4 16 22 
5 6518.64 10879.423 5 14 26 
6 6493.059 10900.661 3 18 27 
7 6475.188 10915.45 3 17 27 
8 6396.01 10982.645 5 14 28 
9 6387.933 10989.506 3 18 25 
10 6396.01 10982.645 5 18 28 
11 6475.188 10915.45 3 12 24 
12 6493.059 10900.661 5 13 23 
13 6518.64 10879.423 3 13 23 
14 6568.75 10839.837 4 16 23 
15 6606.944 10810.704 4 12 29 
16 6678.096 10756.219 3 19 29 
17 6606.944 10810.704 3 13 24 
18 6568.75 10839.837 3 13 28 
19 6518.64 10879.423 4 12 25 
20 6493.059 10900.661 4 12 26 
21 6475.188 10915.45 4 11 20 
22 6396.01 10982.645 5 13 28 
23 6387.933 10989.506 5 18 26 
24 6396.01 10982.645 5 12 24 
25 6475.188 10915.45 3 16 28 
26 6493.059 10900.661 5 19 29 
27 6518.64 10879.423 5 12 21 
28 6568.75 10839.837 5 13 22 
29 6568.75 10839.837 3 16 29 
