T X Y S0 S1 S2 
0 3791.062 5720.946 5 12 28 
1 3791.062 5720.946 5 17 26 
2 3791.062 5720.946 5 13 28 
3 3791.062 5720.946 4 11 27 
4 3791.062 5720.946 5 19 24 
5 3791.062 5720.946 5 11 27 
6 3791.062 5720.946 5 19 28 
7 3791.062 5720.946 3 18 20 
8 3791.062 5720.946 5 18 27 
9 3791.062 5720.946 3 15 25 
10 3791.062 5720.946 4 16 23 
11 3791.062 5720.946 3 14 20 
12 3791.062 5720.946 5 14 28 
13 3791.062 5720.946 5 13 25 
14 3791.062 5720.946 5 19 28 
15 3791.062 5720.946 4 14 21 
16 3791.062 5720.946 4 10 21 
17 3791.062 5720.946 5 16 23 
18 3791.062 5720.946 5 19 21 
19 3791.062 5720.946 5 18 23 
20 3791.062 5720.946 4 15 26 
21 3791.062 5720.946 5 12 27 
22 3791.062 5720.946 3 19 22 
23 3791.062 5720.946 4 12 27 
24 3791.062 5720.946 3 19 26 
25 3791.062 5720.946 4 13 24 
26 3791.062 5720.946 3 19 25 
27 3791.062 5720.946 4 19 25 
28 3791.062 5720.946 4 16 26 
29 3791.062 5720.946 5 17 23 
