T X Y S0 S1 S2 
8 7549.8 8789.725 3 14 22 
9 7548.929 8794.574 4 13 28 
10 7523.277 8826.042 3 17 23 
11 7510.461 8839.952 5 12 26 
12 7486.439 8870.308 4 14 22 
13 7473.568 8887.054 5 19 21 
14 7460.959 8905.88 4 10 21 
15 7451.6 8922.036 3 17 23 
16 7443.266 8938.615 5 12 20 
17 7430.902 8966.314 4 14 28 
18 7418.389 9004.354 5 19 27 
19 7415.58 9012.071 3 19 20 
20 7401.726 9050.945 5 18 29 
21 7383.84 9094.978 4 16 22 
22 7376.949 9114.326 4 10 22 
23 7371.495 9131.672 5 10 23 
24 7358.133 9169.879 3 18 23 
25 7338.251 9223.408 4 17 20 
26 7329.869 9245.291 4 13 23 
27 7322.605 9270.143 3 17 21 
28 7318.54 9300.766 3 17 22 
29 7318.54 9300.766 5 16 25 
