T X Y S0 S1 S2 
8 8194.169 9364.325 4 14 26 
9 8158.401 9405.423 3 14 27 
10 8194.169 9364.325 3 17 28 
11 8203.549 9353.606 3 11 23 
12 8194.169 9364.325 5 12 24 
13 8158.401 9405.423 3 13 20 
14 8194.169 9364.325 5 10 24 
15 8203.549 9353.606 3 12 27 
16 8194.169 9364.325 4 12 20 
17 8158.401 9405.423 4 11 28 
18 8194.169 9364.325 5 12 27 
19 8203.549 9353.606 4 11 20 
20 8194.169 9364.325 5 13 24 
21 8158.401 9405.423 3 19 29 
22 8194.169 9364.325 3 19 26 
23 8203.549 9353.606 5 10 23 
24 8194.169 9364.325 4 13 29 
25 8158.401 9405.423 5 15 21 
26 8194.169 9364.325 3 17 29 
27 8203.549 9353.606 4 16 22 
28 8194.169 9364.325 4 11 26 
29 8194.169 9364.325 5 12 25 
