T X Y S0 S1 S2 
1 6326.965 3660.404 5 12 20 
2 6301.258 3543.527 4 12 22 
3 6326.965 3660.404 3 15 20 
4 6301.258 3543.527 4 17 20 
5 6326.965 3660.404 4 12 29 
6 6301.258 3543.527 4 16 23 
7 6326.965 3660.404 4 16 21 
8 6301.258 3543.527 5 18 21 
9 6326.965 3660.404 3 13 21 
10 6301.258 3543.527 4 16 26 
11 6326.965 3660.404 4 10 29 
12 6301.258 3543.527 5 17 21 
13 6326.965 3660.404 3 17 21 
14 6301.258 3543.527 3 10 26 
15 6326.965 3660.404 3 13 29 
16 6301.258 3543.527 4 15 29 
17 6326.965 3660.404 5 10 25 
18 6301.258 3543.527 3 13 20 
19 6326.965 3660.404 5 10 22 
20 6301.258 3543.527 3 12 23 
21 6326.965 3660.404 3 10 24 
22 6301.258 3543.527 5 17 26 
23 6326.965 3660.404 4 13 20 
24 6301.258 3543.527 5 14 23 
25 6326.965 3660.404 5 11 24 
26 6301.258 3543.527 4 13 27 
27 6326.965 3660.404 5 16 21 
28 6301.258 3543.527 3 16 20 
29 6301.258 3543.527 4 10 20 
