T X Y S0 S1 S2 S3 
0 8768.477 8167.879 5 19 22 54 
1 8768.477 8167.879 3 15 22 57 
2 8768.477 8167.879 5 15 28 49 
3 8768.477 8167.879 3 10 25 51 
4 8768.477 8167.879 3 14 27 41 
5 8768.477 8167.879 3 14 21 58 
6 8768.477 8167.879 5 15 25 56 
7 8768.477 8167.879 5 14 28 41 
8 8768.477 8167.879 5 19 22 51 
9 8768.477 8167.879 5 19 25 54 
10 8768.477 8167.879 3 16 22 52 
11 8768.477 8167.879 4 18 26 54 
12 8768.477 8167.879 5 12 25 59 
13 8768.477 8167.879 5 12 22 52 
14 8768.477 8167.879 3 14 29 49 
15 8768.477 8167.879 4 16 23 46 
16 8768.477 8167.879 3 8 29 57 
17 8768.477 8167.879 5 8 27 46 
18 8768.477 8167.879 5 8 20 59 
19 8768.477 8167.879 4 9 28 47 
20 8768.477 8167.879 3 19 27 55 
21 8768.477 8167.879 3 16 26 44 
22 8768.477 8167.879 3 14 28 48 
23 8768.477 8167.879 3 16 25 54 
24 8768.477 8167.879 5 17 22 55 
25 8768.477 8167.879 3 12 27 49 
26 8768.477 8167.879 4 12 24 52 
27 8768.477 8167.879 3 18 21 55 
28 8768.477 8167.879 3 18 25 44 
29 8768.477 8167.879 4 19 27 48 
