T X Y S0 S1 S2 S3 
0 7321.449 9464.934 4 10 24 50 
1 7321.449 9464.934 4 15 24 47 
2 7321.449 9464.934 4 13 24 48 
3 7321.449 9464.934 4 17 22 50 
4 7321.449 9464.934 4 13 23 40 
5 7321.449 9464.934 5 9 21 56 
6 7321.449 9464.934 5 16 27 58 
7 7321.449 9464.934 4 19 26 55 
8 7321.449 9464.934 5 8 26 54 
9 7321.449 9464.934 5 10 22 43 
10 7321.449 9464.934 4 12 22 52 
11 7321.449 9464.934 4 15 28 47 
12 7321.449 9464.934 5 19 26 50 
13 7321.449 9464.934 5 8 23 43 
14 7321.449 9464.934 3 8 23 49 
15 7321.449 9464.934 3 13 28 59 
16 7321.449 9464.934 4 11 25 58 
17 7321.449 9464.934 3 13 24 44 
18 7321.449 9464.934 3 11 27 43 
19 7321.449 9464.934 4 17 24 59 
20 7321.449 9464.934 4 9 24 52 
21 7321.449 9464.934 5 16 25 40 
22 7321.449 9464.934 5 14 25 54 
23 7321.449 9464.934 4 19 20 54 
24 7321.449 9464.934 3 9 20 45 
25 7321.449 9464.934 5 19 20 59 
26 7321.449 9464.934 5 10 25 47 
27 7321.449 9464.934 3 15 25 46 
28 7321.449 9464.934 3 16 22 40 
29 7321.449 9464.934 3 17 20 52 
