T X Y S0 S1 S2 S3 
1 6600.879 8022.914 5 14 22 40 
2 6667.168 8075.865 4 19 20 46 
3 6708.862 8109.179 5 18 27 47 
4 6714.306 8113.527 5 11 28 41 
5 6775.316 8162.264 3 17 23 53 
6 6816.537 8195.177 5 13 26 58 
7 6845.924 8220.118 3 13 25 53 
8 6858.369 8230.648 3 14 24 40 
9 6868.512 8238.855 5 14 21 43 
10 6889.962 8256.223 4 19 24 55 
11 6911.605 8273.503 5 11 23 57 
12 6935.007 8292.184 3 18 24 41 
13 6942.472 8298.144 3 8 25 56 
14 6973.681 8322.651 4 19 26 42 
15 7011.435 8352.296 3 9 28 42 
16 7021.587 8360.524 5 13 20 46 
17 7035.937 8374.424 3 15 23 46 
18 7044.25 8381.762 3 19 21 45 
19 7049.727 8388.656 4 19 21 56 
20 7053.786 8393.771 4 19 28 48 
21 7057.109 8398.442 5 16 28 45 
22 7062.97 8406.448 4 8 21 40 
23 7074.776 8425.128 3 16 26 46 
24 7085.097 8440.251 5 15 20 51 
25 7098.381 8461.144 3 17 28 41 
26 7105.037 8471.608 3 15 25 53 
27 7121.481 8493.736 3 8 21 48 
28 7135.568 8507.635 3 8 20 40 
29 7135.568 8507.635 3 17 20 58 
