T X Y S0 S1 S2 S3 
1 7549.8 8789.725 4 19 20 57 
2 7548.929 8794.574 3 15 24 45 
3 7523.277 8826.042 4 11 26 58 
4 7510.461 8839.952 5 8 23 52 
5 7486.439 8870.308 5 15 20 52 
6 7473.568 8887.054 3 16 20 41 
7 7460.959 8905.88 5 15 28 57 
8 7451.6 8922.036 3 17 23 52 
9 7443.266 8938.615 5 8 28 59 
10 7430.902 8966.314 3 11 24 40 
11 7418.389 9004.354 3 9 22 46 
12 7415.58 9012.071 5 10 27 43 
13 7401.726 9050.945 3 18 26 56 
14 7383.84 9094.978 4 11 23 47 
15 7376.949 9114.326 4 9 29 54 
16 7371.495 9131.672 5 8 28 57 
17 7358.133 9169.879 5 12 22 52 
18 7338.251 9223.408 3 12 23 45 
19 7329.869 9245.291 3 13 29 46 
20 7322.605 9270.143 5 11 25 54 
21 7318.54 9300.766 3 18 22 51 
22 7317.556 9324.228 3 12 27 52 
23 7317.062 9357.476 3 16 24 41 
24 7317.622 9386.987 4 13 24 46 
25 7318.999 9414.029 4 17 26 41 
26 7320.09 9447.555 4 8 24 55 
27 7321.449 9464.934 4 13 25 44 
28 7323.632 9481.08 5 14 23 50 
29 7323.632 9481.08 4 15 26 55 
