T X Y S0 S1 S2 S3 
4 4111.928 5978.406 3 12 21 41 
5 4199.441 6063.015 4 19 28 51 
6 4287.169 6153.194 5 13 24 55 
7 4320.543 6187.497 3 10 25 59 
8 4334.009 6201.341 4 11 21 45 
9 4370.272 6237.713 3 10 25 58 
10 4443.972 6311.646 5 10 20 49 
11 4580.284 6447.527 5 11 24 44 
12 4617.754 6484.777 3 10 23 53 
13 4656.361 6523.584 3 9 25 44 
14 4678.948 6545.489 3 11 28 58 
15 4722.609 6583.918 5 9 21 56 
16 4814.431 6647.344 3 12 28 47 
17 4839.088 6663.912 3 16 27 53 
18 4880.372 6691.322 4 16 25 47 
19 4887.744 6696.214 4 11 25 53 
20 4890.388 6697.971 4 15 21 44 
21 4920.543 6717.997 5 14 25 42 
22 5002.339 6772.316 5 14 25 58 
23 5022.958 6786.004 4 9 28 57 
24 5068.838 6815.137 3 8 28 57 
25 5075.318 6819.251 4 12 21 44 
26 5078.61 6821.509 5 16 27 55 
27 5089.501 6828.97 3 14 25 44 
28 5116.555 6847.495 5 14 24 53 
29 5116.555 6847.495 4 10 22 44 
