T X Y S0 S1 S2 S3 
2 7549.8 8789.725 4 10 21 47 
3 7548.929 8794.574 4 12 28 44 
4 7523.277 8826.042 3 14 25 56 
5 7510.461 8839.952 5 16 22 57 
6 7486.439 8870.308 3 15 22 41 
7 7473.568 8887.054 5 16 23 59 
8 7460.959 8905.88 5 19 20 43 
9 7451.6 8922.036 5 14 23 42 
10 7443.266 8938.615 4 8 28 45 
11 7430.902 8966.314 5 14 29 54 
12 7418.389 9004.354 5 13 25 49 
13 7415.58 9012.071 5 12 24 54 
14 7401.726 9050.945 3 9 26 55 
15 7383.84 9094.978 5 10 21 42 
16 7376.949 9114.326 3 9 22 43 
17 7371.495 9131.672 5 8 21 49 
18 7358.133 9169.879 4 12 27 50 
19 7338.251 9223.408 5 13 29 57 
20 7329.869 9245.291 3 13 23 47 
21 7322.605 9270.143 3 18 25 41 
22 7318.54 9300.766 4 9 23 57 
23 7317.556 9324.228 3 10 29 46 
24 7317.062 9357.476 3 15 25 50 
25 7317.622 9386.987 3 11 23 40 
26 7318.999 9414.029 5 19 23 56 
27 7320.09 9447.555 3 14 28 50 
28 7321.449 9464.934 5 8 24 45 
29 7321.449 9464.934 5 10 20 55 
