T X Y S0 S1 S2 S3 
4 9670.254 7692.232 4 12 23 51 
5 9689.413 7672.895 3 16 20 49 
6 9721.494 7636.779 3 15 20 56 
7 9726.791 7631.097 5 9 27 50 
8 9732.185 7624.658 5 15 21 49 
9 9792.814 7555.139 5 9 29 41 
10 9833.51 7508.437 3 11 25 42 
11 9844.209 7496.428 4 19 25 41 
12 9896.744 7437.829 3 19 24 41 
13 9933.317 7396.242 5 17 24 56 
14 9960.506 7365.997 5 19 24 57 
15 10012.254 7306.73 4 15 27 47 
16 10032.339 7284.491 4 14 20 58 
17 10103.996 7204.875 4 14 23 53 
18 10166.272 7133.043 5 14 24 48 
19 10275.643 7015.177 5 13 24 56 
20 10385.001 6896.443 3 18 22 55 
21 10421.209 6857.135 5 14 21 45 
22 10426.875 6850.986 4 17 28 51 
23 10429.656 6847.973 4 12 22 54 
24 10437.357 6839.611 5 18 24 50 
25 10442.129 6834.429 4 9 23 56 
26 10559.219 6707.5 4 18 26 41 
27 10815.885 6429.179 5 19 24 56 
28 10909.573 6327.325 3 10 24 42 
29 10909.573 6327.325 5 12 22 57 
