T X Y S0 S1 S2 S3 
7 9670.254 7692.232 4 9 29 44 
8 9689.413 7672.895 3 18 21 47 
9 9721.494 7636.779 3 10 24 42 
10 9726.791 7631.097 3 9 27 49 
11 9732.185 7624.658 4 8 26 42 
12 9792.814 7555.139 3 13 22 58 
13 9833.51 7508.437 4 16 25 52 
14 9844.209 7496.428 4 16 21 45 
15 9896.744 7437.829 3 13 24 54 
16 9933.317 7396.242 3 19 20 46 
17 9960.506 7365.997 4 9 23 55 
18 10012.254 7306.73 3 17 25 41 
19 10032.339 7284.491 4 12 25 55 
20 10103.996 7204.875 4 13 29 54 
21 10166.272 7133.043 3 13 25 57 
22 10275.643 7015.177 4 9 29 58 
23 10385.001 6896.443 3 13 29 42 
24 10421.209 6857.135 3 12 26 42 
25 10426.875 6850.986 5 10 20 45 
26 10429.656 6847.973 4 10 25 42 
27 10437.357 6839.611 4 10 23 58 
28 10442.129 6834.429 3 8 25 57 
29 10442.129 6834.429 4 18 27 42 
