T X Y S0 S1 S2 S3 
4 4111.928 5978.406 3 13 28 53 
5 4199.441 6063.015 4 9 20 50 
6 4287.169 6153.194 5 12 29 56 
7 4320.543 6187.497 4 10 22 49 
8 4334.009 6201.341 5 19 26 51 
9 4370.272 6237.713 5 10 20 45 
10 4443.972 6311.646 3 11 21 43 
11 4580.284 6447.527 3 9 22 59 
12 4617.754 6484.777 3 14 25 41 
13 4656.361 6523.584 5 13 22 46 
14 4678.948 6545.489 5 12 23 55 
15 4722.609 6583.918 3 9 25 45 
16 4814.431 6647.344 3 14 22 57 
17 4839.088 6663.912 3 12 21 57 
18 4880.372 6691.322 4 17 24 54 
19 4887.744 6696.214 4 18 21 55 
20 4890.388 6697.971 5 17 28 40 
21 4920.543 6717.997 5 16 22 45 
22 5002.339 6772.316 3 8 24 56 
23 5022.958 6786.004 5 18 24 44 
24 5068.838 6815.137 3 17 22 48 
25 5075.318 6819.251 4 9 28 40 
26 5078.61 6821.509 4 9 21 47 
27 5089.501 6828.97 5 17 23 53 
28 5116.555 6847.495 4 13 28 45 
29 5116.555 6847.495 4 19 29 59 
