T X Y S0 S1 S2 S3 
0 8565.136 4380.802 5 18 28 51 
1 8565.136 4380.802 5 18 26 40 
2 8565.136 4380.802 3 14 29 52 
3 8565.136 4380.802 4 13 21 59 
4 8565.136 4380.802 3 14 25 50 
5 8565.136 4380.802 4 12 25 41 
6 8565.136 4380.802 3 15 27 49 
7 8565.136 4380.802 5 9 25 57 
8 8565.136 4380.802 3 16 26 59 
9 8565.136 4380.802 4 9 24 59 
10 8565.136 4380.802 3 11 24 53 
11 8565.136 4380.802 4 13 28 58 
12 8565.136 4380.802 4 13 27 41 
13 8565.136 4380.802 3 11 25 43 
14 8565.136 4380.802 3 19 22 42 
15 8565.136 4380.802 4 8 22 49 
16 8565.136 4380.802 5 10 22 43 
17 8565.136 4380.802 5 11 23 41 
18 8565.136 4380.802 3 13 22 43 
19 8565.136 4380.802 3 10 22 51 
20 8565.136 4380.802 3 10 28 49 
21 8565.136 4380.802 4 15 26 47 
22 8565.136 4380.802 5 11 26 48 
23 8565.136 4380.802 4 17 24 44 
24 8565.136 4380.802 4 10 28 52 
25 8565.136 4380.802 3 16 26 51 
26 8565.136 4380.802 5 10 25 54 
27 8565.136 4380.802 5 11 21 56 
28 8565.136 4380.802 4 8 23 54 
29 8565.136 4380.802 5 12 26 58 
