T X Y S0 S1 S2 S3 
1 8602.607 5346.586 5 10 27 49 
2 8599.151 5300.773 5 11 20 41 
3 8595.162 5262.078 4 14 20 43 
4 8589.34 5217.155 3 16 28 59 
5 8575.333 5115.812 4 17 23 59 
6 8554.908 4968.078 5 16 22 49 
7 8551.698 4937.833 3 18 22 49 
8 8548.756 4902.473 4 13 23 44 
9 8547.13 4866.446 4 13 25 58 
10 8546.646 4826.527 4 14 26 52 
11 8545.843 4672.744 5 8 28 56 
12 8547.502 4494.91 4 12 21 52 
13 8548.558 4381.725 4 19 26 44 
14 8549.101 4322.925 4 16 28 49 
15 8548.784 4290.79 4 14 24 49 
16 8550.9 4195.385 5 17 22 54 
17 8551.288 4159.357 3 19 22 45 
18 8553.975 3986.527 4 16 24 51 
19 8555.704 3875.81 4 16 23 48 
20 8556.07 3860.799 5 9 26 56 
21 8555.991 3852.682 3 19 24 51 
22 8559.425 3761.024 5 16 22 54 
23 8562.391 3681.886 3 11 28 42 
24 8567.459 3612.723 5 19 28 46 
25 8569.359 3589.283 3 15 29 59 
26 8569.873 3582.912 5 14 26 46 
27 8571.276 3565.688 4 9 22 51 
28 8575.093 3518.697 3 9 22 59 
29 8575.093 3518.697 4 10 27 40 
