T X Y S0 S1 S2 S3 
0 5022.958 6786.004 5 13 26 45 
1 5022.958 6786.004 4 9 27 41 
2 5022.958 6786.004 4 12 22 52 
3 5022.958 6786.004 3 10 23 47 
4 5022.958 6786.004 4 8 26 42 
5 5022.958 6786.004 5 11 29 50 
6 5022.958 6786.004 3 9 25 49 
7 5022.958 6786.004 5 9 20 41 
8 5022.958 6786.004 5 8 26 43 
9 5022.958 6786.004 4 19 20 46 
10 5022.958 6786.004 5 12 24 47 
11 5022.958 6786.004 5 19 26 57 
12 5022.958 6786.004 4 16 24 46 
13 5022.958 6786.004 4 13 21 44 
14 5022.958 6786.004 3 8 20 52 
15 5022.958 6786.004 4 18 28 49 
16 5022.958 6786.004 5 12 20 42 
17 5022.958 6786.004 4 19 25 58 
18 5022.958 6786.004 4 12 20 56 
19 5022.958 6786.004 5 18 27 52 
20 5022.958 6786.004 4 15 27 40 
21 5022.958 6786.004 4 18 23 55 
22 5022.958 6786.004 4 14 24 59 
23 5022.958 6786.004 5 11 20 53 
24 5022.958 6786.004 5 14 25 40 
25 5022.958 6786.004 5 19 29 58 
26 5022.958 6786.004 4 11 23 51 
27 5022.958 6786.004 3 15 23 44 
28 5022.958 6786.004 3 18 21 53 
29 5022.958 6786.004 3 8 22 41 
