T X Y S0 S1 S2 S3 
4 9670.254 7692.232 4 14 22 54 
5 9689.413 7672.895 3 13 28 51 
6 9721.494 7636.779 5 18 22 59 
7 9726.791 7631.097 4 17 21 54 
8 9732.185 7624.658 3 12 23 52 
9 9792.814 7555.139 3 8 23 42 
10 9833.51 7508.437 4 10 24 59 
11 9844.209 7496.428 4 16 20 54 
12 9896.744 7437.829 4 16 26 51 
13 9933.317 7396.242 5 17 20 48 
14 9960.506 7365.997 3 15 21 48 
15 10012.254 7306.73 3 11 22 40 
16 10032.339 7284.491 5 10 25 41 
17 10103.996 7204.875 5 11 28 52 
18 10166.272 7133.043 5 18 29 56 
19 10275.643 7015.177 5 11 23 54 
20 10385.001 6896.443 4 12 23 50 
21 10421.209 6857.135 3 10 26 42 
22 10426.875 6850.986 3 16 20 48 
23 10429.656 6847.973 3 17 23 55 
24 10437.357 6839.611 4 17 23 57 
25 10442.129 6834.429 5 12 20 59 
26 10559.219 6707.5 4 17 21 53 
27 10815.885 6429.179 4 9 24 52 
28 10909.573 6327.325 3 17 21 47 
29 10909.573 6327.325 3 19 21 56 
