T X Y S0 S1 S2 S3 
6 6600.879 8022.914 5 16 21 49 
7 6667.168 8075.865 4 16 23 41 
8 6708.862 8109.179 5 19 28 52 
9 6714.306 8113.527 4 11 29 43 
10 6775.316 8162.264 3 12 21 43 
11 6816.537 8195.177 5 19 26 40 
12 6845.924 8220.118 3 9 22 47 
13 6858.369 8230.648 5 11 20 55 
14 6868.512 8238.855 4 13 23 43 
15 6889.962 8256.223 4 11 25 40 
16 6911.605 8273.503 4 12 21 50 
17 6935.007 8292.184 3 16 28 57 
18 6942.472 8298.144 4 17 22 46 
19 6973.681 8322.651 5 14 27 45 
20 7011.435 8352.296 5 13 26 54 
21 7021.587 8360.524 4 15 27 40 
22 7035.937 8374.424 4 8 27 44 
23 7044.25 8381.762 3 17 25 57 
24 7049.727 8388.656 4 17 21 51 
25 7053.786 8393.771 3 19 26 53 
26 7057.109 8398.442 4 17 25 52 
27 7062.97 8406.448 4 8 23 47 
28 7074.776 8425.128 3 9 28 53 
29 7074.776 8425.128 5 17 27 45 
