T X Y S0 S1 S2 S3 
1 6600.879 8022.914 5 15 29 50 
2 6667.168 8075.865 4 17 27 41 
3 6708.862 8109.179 4 13 20 57 
4 6714.306 8113.527 5 11 22 59 
5 6775.316 8162.264 3 16 28 40 
6 6816.537 8195.177 5 16 24 46 
7 6845.924 8220.118 3 16 21 59 
8 6858.369 8230.648 4 12 25 54 
9 6868.512 8238.855 3 10 20 41 
10 6889.962 8256.223 5 10 25 42 
11 6911.605 8273.503 3 10 29 43 
12 6935.007 8292.184 5 17 25 50 
13 6942.472 8298.144 3 10 25 53 
14 6973.681 8322.651 4 17 24 49 
15 7011.435 8352.296 3 8 23 45 
16 7021.587 8360.524 3 10 22 47 
17 7035.937 8374.424 5 13 25 43 
18 7044.25 8381.762 5 19 28 42 
19 7049.727 8388.656 3 9 27 43 
20 7053.786 8393.771 5 13 28 53 
21 7057.109 8398.442 4 19 26 54 
22 7062.97 8406.448 4 8 28 52 
23 7074.776 8425.128 5 15 24 49 
24 7085.097 8440.251 5 14 20 50 
25 7098.381 8461.144 4 13 20 49 
26 7105.037 8471.608 3 14 29 52 
27 7121.481 8493.736 5 9 22 40 
28 7135.568 8507.635 4 14 29 55 
29 7135.568 8507.635 4 16 24 43 
