T X Y S0 S1 S2 S3 
0 8545.843 4672.744 3 15 21 55 
1 8545.843 4672.744 4 11 29 42 
2 8545.843 4672.744 3 17 27 49 
3 8545.843 4672.744 5 9 28 44 
4 8545.843 4672.744 4 14 23 59 
5 8545.843 4672.744 4 14 27 52 
6 8545.843 4672.744 4 16 20 53 
7 8545.843 4672.744 3 16 25 44 
8 8545.843 4672.744 5 9 26 50 
9 8545.843 4672.744 3 17 20 59 
10 8545.843 4672.744 5 10 22 43 
11 8545.843 4672.744 5 15 27 53 
12 8545.843 4672.744 4 14 27 53 
13 8545.843 4672.744 3 18 29 56 
14 8545.843 4672.744 4 9 29 45 
15 8545.843 4672.744 5 13 22 48 
16 8545.843 4672.744 3 16 29 46 
17 8545.843 4672.744 4 14 24 51 
18 8545.843 4672.744 3 10 27 51 
19 8545.843 4672.744 3 15 29 49 
20 8545.843 4672.744 3 14 23 54 
21 8545.843 4672.744 3 10 21 58 
22 8545.843 4672.744 5 16 29 55 
23 8545.843 4672.744 3 18 22 42 
24 8545.843 4672.744 5 8 25 46 
25 8545.843 4672.744 4 10 26 55 
26 8545.843 4672.744 5 12 24 43 
27 8545.843 4672.744 3 19 23 57 
28 8545.843 4672.744 4 10 29 51 
29 8545.843 4672.744 4 12 23 53 
