T X Y S0 S1 S2 S3 
1 8862.373 7890.381 3 11 26 48 
2 8861.609 7891.949 5 19 28 42 
3 8822.168 7992.102 5 14 22 50 
4 8818.385 8000.664 3 14 22 47 
5 8815.758 8008.036 4 19 26 56 
6 8803.29 8045.731 3 17 20 59 
7 8775.325 8144.539 3 19 26 57 
8 8773.048 8152.034 3 11 26 57 
9 8768.477 8167.879 3 19 22 52 
10 8757.77 8204.951 3 17 28 53 
11 8747.978 8238.866 5 9 28 43 
12 8734.142 8286.791 5 8 22 50 
13 8732.788 8291.472 3 13 29 44 
14 8731.61 8295.786 3 8 23 59 
15 8719.697 8339.453 5 8 20 43 
16 8715.556 8354.631 3 18 26 56 
17 8714.44 8358.512 4 8 27 45 
18 8708.612 8378.76 5 13 23 48 
19 8703.688 8396.774 4 13 29 56 
20 8701.842 8403.368 3 17 21 52 
21 8701.394 8405.002 4 9 21 48 
22 8695.635 8426.229 4 15 25 54 
23 8691.591 8441.007 5 9 22 43 
24 8687.731 8455.129 5 12 25 53 
25 8682.14 8475.566 4 12 25 52 
26 8677.744 8491.667 3 12 25 48 
27 8675.379 8500.296 4 16 26 50 
28 8672.658 8506.412 3 9 25 58 
29 8672.658 8506.412 4 17 21 46 
