T X Y S0 S1 S2 S3 
0 11660.137 5507.818 4 17 26 54 
1 11660.137 5507.818 3 15 22 40 
2 11660.137 5507.818 4 19 23 43 
3 11660.137 5507.818 5 15 23 43 
4 11660.137 5507.818 5 13 22 41 
5 11660.137 5507.818 4 16 21 44 
6 11660.137 5507.818 4 13 26 40 
7 11660.137 5507.818 5 17 22 46 
8 11660.137 5507.818 3 16 26 50 
9 11660.137 5507.818 5 18 23 44 
10 11660.137 5507.818 4 13 25 58 
11 11660.137 5507.818 3 12 22 41 
12 11660.137 5507.818 3 19 20 56 
13 11660.137 5507.818 5 8 20 44 
14 11660.137 5507.818 4 15 20 54 
15 11660.137 5507.818 4 15 25 52 
16 11660.137 5507.818 5 15 20 44 
17 11660.137 5507.818 3 11 28 53 
18 11660.137 5507.818 5 15 22 41 
19 11660.137 5507.818 3 15 28 40 
20 11660.137 5507.818 4 14 21 46 
21 11660.137 5507.818 3 15 25 55 
22 11660.137 5507.818 5 17 23 59 
23 11660.137 5507.818 4 13 29 59 
24 11660.137 5507.818 4 10 20 47 
25 11660.137 5507.818 4 10 23 58 
26 11660.137 5507.818 4 14 20 49 
27 11660.137 5507.818 3 14 28 55 
28 11660.137 5507.818 3 13 22 44 
29 11660.137 5507.818 4 14 24 58 
30 11660.137 5507.818 4 10 27 49 
31 11660.137 5507.818 4 19 23 42 
32 11660.137 5507.818 5 18 28 44 
33 11660.137 5507.818 3 16 29 58 
34 11660.137 5507.818 4 16 24 49 
35 11660.137 5507.818 4 18 28 57 
36 11660.137 5507.818 3 19 23 55 
37 11660.137 5507.818 3 17 20 40 
38 11660.137 5507.818 4 12 26 50 
39 11660.137 5507.818 3 15 28 57 
40 11660.137 5507.818 4 14 26 58 
41 11660.137 5507.818 5 19 28 48 
42 11660.137 5507.818 5 12 28 43 
43 11660.137 5507.818 4 12 29 43 
44 11660.137 5507.818 4 15 24 47 
45 11660.137 5507.818 3 16 27 43 
46 11660.137 5507.818 5 15 23 58 
47 11660.137 5507.818 5 11 28 46 
48 11660.137 5507.818 3 14 22 44 
49 11660.137 5507.818 3 19 26 54 
50 11660.137 5507.818 3 14 23 47 
51 11660.137 5507.818 3 13 27 47 
52 11660.137 5507.818 4 18 24 50 
53 11660.137 5507.818 5 12 20 44 
54 11660.137 5507.818 3 9 24 40 
55 11660.137 5507.818 4 9 21 50 
56 11660.137 5507.818 4 16 20 59 
57 11660.137 5507.818 5 9 22 50 
58 11660.137 5507.818 3 16 26 56 
59 11660.137 5507.818 3 14 29 54 
