T X Y S0 S1 S2 S3 
10 9670.254 7692.232 5 11 27 54 
11 9670.254 7692.232 5 18 23 42 
12 9670.254 7692.232 5 18 21 40 
13 9670.254 7692.232 4 17 20 45 
14 9670.254 7692.232 3 15 25 50 
15 9670.254 7692.232 4 19 22 47 
16 9689.413 7672.895 4 14 23 48 
17 9721.494 7636.779 5 12 23 48 
18 9726.791 7631.097 3 18 23 46 
19 9732.185 7624.658 3 15 24 56 
20 9792.814 7555.139 4 14 25 42 
21 9833.51 7508.437 3 14 21 49 
22 9844.209 7496.428 3 18 21 50 
23 9896.744 7437.829 5 8 29 42 
24 9933.317 7396.242 3 14 26 53 
25 9960.506 7365.997 5 14 22 47 
26 10012.254 7306.73 3 19 22 52 
27 10032.339 7284.491 5 17 26 56 
28 10103.996 7204.875 3 18 27 51 
29 10166.272 7133.043 5 9 23 51 
30 10275.643 7015.177 4 15 23 51 
31 10385.001 6896.443 5 17 23 58 
32 10421.209 6857.135 3 19 25 55 
33 10426.875 6850.986 5 16 22 57 
34 10429.656 6847.973 5 9 27 48 
35 10437.357 6839.611 3 19 21 44 
36 10442.129 6834.429 4 8 26 49 
37 10559.219 6707.5 5 16 29 51 
38 10815.885 6429.179 3 15 23 55 
39 10909.573 6327.325 3 15 27 58 
40 10932.908 6302.417 4 10 23 41 
41 11008.44 6219.799 5 11 25 44 
42 11031.161 6195.448 5 17 27 49 
43 11253.293 5954.044 3 9 23 49 
44 11260.96 5946.16 5 9 27 45 
45 11270.997 5935.552 3 17 21 49 
46 11326.111 5875.762 4 16 24 58 
47 11363.747 5836.066 4 19 23 47 
48 11368.134 5831.396 4 11 20 56 
49 11395.947 5800.728 5 9 21 55 
50 11475.526 5712.973 5 11 24 43 
51 11505.271 5679.17 3 11 23 53 
52 11660.137 5507.818 5 11 20 45 
53 11678.564 5487.136 4 17 28 52 
54 11701.908 5458.003 3 16 26 53 
55 11729.988 5426.09 4 15 27 59 
56 11701.908 5458.003 3 15 25 46 
57 11678.564 5487.136 3 12 24 58 
58 11660.137 5507.818 3 18 26 55 
59 11660.137 5507.818 5 9 25 42 
