T X Y S0 S1 S2 S3 
0 5652.539 7284.257 3 13 20 48 
1 5652.539 7284.257 4 8 24 44 
2 5652.539 7284.257 5 11 29 54 
3 5652.539 7284.257 5 8 28 52 
4 5652.539 7284.257 5 17 29 53 
5 5652.539 7284.257 5 11 22 46 
6 5652.539 7284.257 5 16 25 54 
7 5652.539 7284.257 4 15 21 55 
8 5652.539 7284.257 5 17 20 40 
9 5652.539 7284.257 3 16 29 45 
10 5652.539 7284.257 4 17 23 57 
11 5652.539 7284.257 3 12 25 57 
12 5652.539 7284.257 3 17 26 45 
13 5652.539 7284.257 3 13 27 59 
14 5652.539 7284.257 5 14 22 46 
15 5652.539 7284.257 5 17 27 41 
16 5652.539 7284.257 4 19 29 48 
17 5652.539 7284.257 3 11 25 46 
18 5652.539 7284.257 4 15 22 56 
19 5652.539 7284.257 3 13 20 42 
20 5652.539 7284.257 3 14 29 54 
21 5652.539 7284.257 3 13 25 51 
22 5652.539 7284.257 3 15 25 40 
23 5652.539 7284.257 5 11 23 59 
24 5652.539 7284.257 4 11 22 55 
25 5652.539 7284.257 5 17 25 52 
26 5652.539 7284.257 5 17 20 49 
27 5652.539 7284.257 3 14 28 53 
28 5652.539 7284.257 3 17 22 48 
29 5652.539 7284.257 4 19 22 46 
30 5652.539 7284.257 5 13 29 52 
31 5652.539 7284.257 3 9 23 53 
32 5652.539 7284.257 3 11 28 43 
33 5652.539 7284.257 4 19 23 50 
34 5652.539 7284.257 4 17 26 45 
35 5652.539 7284.257 4 15 21 56 
36 5652.539 7284.257 5 12 25 43 
37 5652.539 7284.257 5 11 28 48 
38 5652.539 7284.257 5 8 26 46 
39 5652.539 7284.257 4 10 29 53 
40 5652.539 7284.257 5 11 28 55 
41 5652.539 7284.257 5 13 28 59 
42 5652.539 7284.257 5 11 25 55 
43 5652.539 7284.257 3 10 27 43 
44 5652.539 7284.257 4 15 20 55 
45 5652.539 7284.257 4 14 20 45 
46 5652.539 7284.257 5 18 22 53 
47 5652.539 7284.257 4 12 27 50 
48 5652.539 7284.257 3 14 26 52 
49 5652.539 7284.257 3 13 27 48 
50 5652.539 7284.257 5 10 23 43 
51 5652.539 7284.257 5 19 21 54 
52 5652.539 7284.257 4 8 20 56 
53 5652.539 7284.257 3 10 22 57 
54 5652.539 7284.257 3 15 29 52 
55 5652.539 7284.257 4 19 28 40 
56 5652.539 7284.257 4 14 22 54 
57 5652.539 7284.257 5 11 22 57 
58 5652.539 7284.257 3 10 29 46 
59 5652.539 7284.257 4 12 29 56 
