T X Y S0 S1 S2 S3 
0 7552.693 8776.949 4 18 26 57 
1 7549.8 8789.725 3 14 24 48 
2 7548.929 8794.574 3 17 28 55 
3 7523.277 8826.042 4 8 24 53 
4 7510.461 8839.952 5 10 26 57 
5 7486.439 8870.308 5 11 26 50 
6 7473.568 8887.054 3 13 26 41 
7 7460.959 8905.88 5 8 28 58 
8 7451.6 8922.036 5 16 20 56 
9 7443.266 8938.615 5 8 25 48 
10 7430.902 8966.314 5 14 28 50 
11 7418.389 9004.354 3 11 25 49 
12 7415.58 9012.071 3 15 27 56 
13 7401.726 9050.945 4 18 27 40 
14 7383.84 9094.978 4 13 27 46 
15 7376.949 9114.326 3 16 28 48 
16 7371.495 9131.672 4 17 28 58 
17 7358.133 9169.879 3 16 24 59 
18 7338.251 9223.408 3 17 20 41 
19 7329.869 9245.291 3 12 23 54 
20 7322.605 9270.143 4 13 26 47 
21 7318.54 9300.766 4 19 24 41 
22 7317.556 9324.228 5 17 29 49 
23 7317.062 9357.476 5 10 20 43 
24 7317.622 9386.987 5 15 23 54 
25 7318.999 9414.029 4 10 21 47 
26 7320.09 9447.555 3 14 25 59 
27 7321.449 9464.934 3 9 27 45 
28 7323.632 9481.08 3 16 24 56 
29 7327.379 9501.829 4 19 20 56 
30 7331.949 9521.766 3 8 26 41 
31 7335.882 9539.546 3 11 21 54 
32 7341.696 9558.561 4 9 29 52 
33 7351.082 9579.109 5 8 28 59 
34 7366.443 9604.718 5 19 27 52 
35 7400.951 9643.68 4 16 27 43 
36 7366.443 9604.718 5 9 29 55 
37 7351.082 9579.109 3 14 24 46 
38 7341.696 9558.561 5 10 23 47 
39 7335.882 9539.546 3 18 22 44 
40 7331.949 9521.766 3 10 24 54 
41 7327.379 9501.829 5 17 24 51 
42 7323.632 9481.08 4 15 25 44 
43 7321.449 9464.934 5 8 28 45 
44 7320.09 9447.555 4 19 22 50 
45 7318.999 9414.029 5 12 23 53 
46 7317.622 9386.987 5 16 22 54 
47 7317.062 9357.476 5 18 26 41 
48 7317.556 9324.228 3 13 24 44 
49 7318.54 9300.766 4 10 24 44 
50 7322.605 9270.143 5 18 23 56 
51 7329.869 9245.291 4 12 26 58 
52 7338.251 9223.408 5 15 24 45 
53 7358.133 9169.879 4 10 22 58 
54 7371.495 9131.672 4 9 22 58 
55 7376.949 9114.326 3 12 21 58 
56 7383.84 9094.978 4 13 25 58 
57 7401.726 9050.945 3 12 21 49 
58 7415.58 9012.071 4 13 25 49 
59 7415.58 9012.071 5 19 24 54 
