T X Y S0 S1 S2 S3 
0 9726.791 7631.097 4 11 22 40 
1 9726.791 7631.097 4 13 29 56 
2 9726.791 7631.097 5 8 22 50 
3 9726.791 7631.097 4 9 24 55 
4 9726.791 7631.097 4 11 20 43 
5 9726.791 7631.097 4 11 29 52 
6 9726.791 7631.097 5 15 23 50 
7 9726.791 7631.097 4 13 20 49 
8 9726.791 7631.097 5 9 28 43 
9 9726.791 7631.097 5 14 29 43 
10 9726.791 7631.097 4 17 29 48 
11 9726.791 7631.097 4 12 25 45 
12 9726.791 7631.097 5 17 23 41 
13 9726.791 7631.097 5 11 23 42 
14 9726.791 7631.097 5 9 26 46 
15 9726.791 7631.097 4 13 21 49 
16 9726.791 7631.097 5 15 23 59 
17 9726.791 7631.097 5 15 28 54 
18 9726.791 7631.097 3 18 28 58 
19 9726.791 7631.097 4 17 24 40 
20 9726.791 7631.097 4 11 22 59 
21 9726.791 7631.097 4 19 25 56 
22 9726.791 7631.097 4 17 25 56 
23 9726.791 7631.097 3 15 27 43 
24 9726.791 7631.097 5 14 23 51 
25 9726.791 7631.097 5 13 25 56 
26 9726.791 7631.097 5 16 26 51 
27 9726.791 7631.097 4 10 25 57 
28 9726.791 7631.097 3 8 22 55 
29 9726.791 7631.097 3 19 21 56 
30 9726.791 7631.097 4 12 29 45 
31 9726.791 7631.097 3 9 20 44 
32 9726.791 7631.097 4 15 26 48 
33 9726.791 7631.097 5 11 25 49 
34 9726.791 7631.097 4 11 25 50 
35 9726.791 7631.097 3 17 24 48 
36 9726.791 7631.097 4 12 23 46 
37 9726.791 7631.097 4 10 24 56 
38 9726.791 7631.097 5 10 29 51 
39 9726.791 7631.097 3 12 24 48 
40 9726.791 7631.097 4 12 20 42 
41 9726.791 7631.097 5 10 29 50 
42 9726.791 7631.097 4 13 21 49 
43 9726.791 7631.097 3 17 28 40 
44 9726.791 7631.097 5 19 24 57 
45 9726.791 7631.097 5 12 22 44 
46 9726.791 7631.097 5 11 22 49 
47 9726.791 7631.097 5 19 22 58 
48 9726.791 7631.097 3 14 20 57 
49 9726.791 7631.097 3 10 20 55 
50 9726.791 7631.097 5 11 26 46 
51 9726.791 7631.097 3 13 23 58 
52 9726.791 7631.097 5 13 25 59 
53 9726.791 7631.097 5 17 20 41 
54 9726.791 7631.097 5 15 21 40 
55 9726.791 7631.097 4 9 20 44 
56 9726.791 7631.097 3 18 24 51 
57 9726.791 7631.097 5 12 23 41 
58 9726.791 7631.097 3 15 22 54 
59 9726.791 7631.097 4 18 27 55 
