T X Y S0 S1 S2 S3 
9 4048.982 5917.549 5 19 27 45 
10 4048.982 5917.549 3 15 26 50 
11 4048.982 5917.549 5 18 27 50 
12 4048.982 5917.549 3 13 25 48 
13 4048.982 5917.549 4 8 25 52 
14 4111.928 5978.406 4 8 25 48 
15 4199.441 6063.015 3 19 23 45 
16 4287.169 6153.194 4 9 25 43 
17 4320.543 6187.497 3 9 20 49 
18 4334.009 6201.341 3 9 28 54 
19 4370.272 6237.713 4 11 24 43 
20 4443.972 6311.646 4 10 26 50 
21 4580.284 6447.527 4 8 28 46 
22 4617.754 6484.777 5 13 22 43 
23 4656.361 6523.584 3 11 21 40 
24 4678.948 6545.489 4 17 28 47 
25 4722.609 6583.918 4 10 29 47 
26 4814.431 6647.344 4 16 24 59 
27 4839.088 6663.912 3 17 29 49 
28 4880.372 6691.322 3 12 23 49 
29 4887.744 6696.214 4 19 22 41 
30 4890.388 6697.971 4 12 26 48 
31 4920.543 6717.997 4 14 28 56 
32 5002.339 6772.316 3 12 22 45 
33 5022.958 6786.004 4 9 25 47 
34 5068.838 6815.137 3 17 24 43 
35 5075.318 6819.251 4 18 21 53 
36 5078.61 6821.509 4 18 28 48 
37 5089.501 6828.97 3 16 22 59 
38 5116.555 6847.495 4 18 24 56 
39 5127.439 6854.456 4 18 28 43 
40 5136.807 6860.449 4 16 28 42 
41 5146.009 6866.442 5 8 23 48 
42 5155.456 6872.781 3 15 27 54 
43 5157.882 6874.404 5 11 24 46 
44 5186.774 6894.753 5 15 29 59 
45 5218.046 6918.382 4 8 24 44 
46 5221.355 6920.883 5 13 25 48 
47 5241.036 6935.683 4 13 28 58 
48 5276.948 6962.693 5 8 26 49 
49 5288.916 6971.7 5 14 25 52 
50 5304.963 6983.764 5 8 22 46 
51 5318.559 6993.994 5 17 28 56 
52 5349.087 7016.956 5 10 26 48 
53 5360.344 7027.075 5 18 25 51 
54 5402.747 7065.214 5 9 21 48 
55 5411.763 7073.332 5 10 27 44 
56 5422.399 7082.661 3 19 22 40 
57 5483.474 7136.279 4 18 26 46 
58 5495.624 7146.943 3 19 22 58 
59 5495.624 7146.943 3 19 20 53 
