T X Y S0 S1 S2 S3 
0 5577.731 7220.665 4 11 24 44 
1 5577.731 7220.665 5 16 28 44 
2 5577.731 7220.665 3 8 27 55 
3 5577.731 7220.665 3 16 25 49 
4 5577.731 7220.665 4 16 26 46 
5 5577.731 7220.665 3 14 29 57 
6 5577.731 7220.665 4 10 27 52 
7 5577.731 7220.665 5 11 22 45 
8 5577.731 7220.665 5 11 25 45 
9 5577.731 7220.665 5 17 21 47 
10 5577.731 7220.665 3 19 23 41 
11 5577.731 7220.665 5 16 20 54 
12 5577.731 7220.665 4 8 21 42 
13 5577.731 7220.665 4 17 21 53 
14 5577.731 7220.665 4 12 22 50 
15 5577.731 7220.665 3 13 21 42 
16 5577.731 7220.665 3 19 22 54 
17 5577.731 7220.665 4 8 29 57 
18 5577.731 7220.665 4 11 28 41 
19 5577.731 7220.665 3 14 22 54 
20 5577.731 7220.665 5 9 28 57 
21 5577.731 7220.665 3 18 26 52 
22 5577.731 7220.665 4 19 21 42 
23 5577.731 7220.665 5 10 27 56 
24 5577.731 7220.665 5 16 28 42 
25 5577.731 7220.665 3 13 24 44 
26 5577.731 7220.665 3 11 22 52 
27 5577.731 7220.665 5 18 29 46 
28 5577.731 7220.665 5 12 22 52 
29 5577.731 7220.665 4 19 24 46 
30 5577.731 7220.665 3 15 27 43 
31 5577.731 7220.665 4 13 22 48 
32 5577.731 7220.665 4 16 29 59 
33 5577.731 7220.665 4 8 20 57 
34 5577.731 7220.665 3 14 21 51 
35 5577.731 7220.665 5 11 29 53 
36 5577.731 7220.665 4 9 29 52 
37 5577.731 7220.665 3 13 28 45 
38 5577.731 7220.665 3 11 24 48 
39 5577.731 7220.665 4 19 23 48 
40 5577.731 7220.665 4 9 20 48 
41 5577.731 7220.665 3 10 29 42 
42 5577.731 7220.665 3 12 28 50 
43 5577.731 7220.665 4 16 26 53 
44 5577.731 7220.665 5 9 25 46 
45 5577.731 7220.665 5 9 28 43 
46 5577.731 7220.665 3 12 22 49 
47 5577.731 7220.665 4 19 26 51 
48 5577.731 7220.665 5 19 27 45 
49 5577.731 7220.665 4 9 27 46 
50 5577.731 7220.665 3 12 25 56 
51 5577.731 7220.665 4 19 28 55 
52 5577.731 7220.665 3 19 28 58 
53 5577.731 7220.665 5 9 25 55 
54 5577.731 7220.665 3 10 23 51 
55 5577.731 7220.665 3 13 25 57 
56 5577.731 7220.665 4 14 27 59 
57 5577.731 7220.665 3 16 24 56 
58 5577.731 7220.665 4 14 21 43 
59 5577.731 7220.665 5 9 25 56 
