T X Y S0 S1 S2 S3 
5 6600.879 8022.914 4 8 20 44 
6 6667.168 8075.865 5 16 21 46 
7 6708.862 8109.179 4 12 27 59 
8 6714.306 8113.527 3 9 20 40 
9 6775.316 8162.264 5 18 21 57 
10 6816.537 8195.177 4 11 26 42 
11 6845.924 8220.118 3 9 27 40 
12 6858.369 8230.648 5 8 20 50 
13 6868.512 8238.855 4 15 29 46 
14 6889.962 8256.223 3 9 26 59 
15 6911.605 8273.503 3 11 20 46 
16 6935.007 8292.184 3 11 20 43 
17 6942.472 8298.144 5 13 26 57 
18 6973.681 8322.651 4 13 22 54 
19 7011.435 8352.296 3 15 21 52 
20 7021.587 8360.524 4 15 29 55 
21 7035.937 8374.424 4 18 29 53 
22 7044.25 8381.762 5 16 24 55 
23 7049.727 8388.656 4 15 26 56 
24 7053.786 8393.771 4 13 27 53 
25 7057.109 8398.442 3 12 24 42 
26 7062.97 8406.448 3 18 25 47 
27 7074.776 8425.128 4 11 26 41 
28 7085.097 8440.251 4 13 28 45 
29 7098.381 8461.144 3 10 20 46 
30 7105.037 8471.608 3 19 29 46 
31 7121.481 8493.736 5 9 20 57 
32 7135.568 8507.635 3 10 29 44 
33 7147.19 8516.608 5 18 22 48 
34 7171.274 8535.211 5 14 26 43 
35 7189.653 8548.221 4 13 22 41 
36 7397.964 8671.648 3 15 27 52 
37 7413.938 8680.977 3 13 21 43 
38 7428.922 8689.717 5 13 29 53 
39 7468.334 8712.723 4 8 27 47 
40 7480.062 8719.573 4 16 26 52 
41 7499.489 8734.684 4 9 25 59 
42 7510.331 8743.113 5 8 22 55 
43 7540.53 8766.608 5 16 28 48 
44 7543.164 8768.854 4 10 25 42 
45 7552.693 8776.949 3 14 26 40 
46 7543.164 8768.854 3 8 22 46 
47 7540.53 8766.608 5 9 26 57 
48 7510.331 8743.113 3 9 23 55 
49 7499.489 8734.684 5 13 25 56 
50 7480.062 8719.573 5 13 29 44 
51 7468.334 8712.723 3 16 29 54 
52 7428.922 8689.717 5 13 29 46 
53 7413.938 8680.977 3 12 20 46 
54 7397.964 8671.648 5 14 28 46 
55 7189.653 8548.221 4 16 27 46 
56 7171.274 8535.211 4 12 27 53 
57 7147.19 8516.608 4 17 22 54 
58 7135.568 8507.635 5 13 24 53 
59 7135.568 8507.635 3 13 22 55 
