ID	s	d	TTL	size	genT
0	2	11	30	100	12
1	1	10	29	1	9
2	1	8	25	25	8
3	0	9	26	10	8
4	4	8	25	1	0
5	7	11	25	50	7
6	5	8	28	25	7
7	0	9	23	10	3
8	7	11	28	50	13
9	2	10	21	10	7
10	1	10	27	1	2
11	1	10	30	1	10
12	3	8	20	1	5
13	3	10	22	1	8
14	2	10	25	100	1
15	0	11	21	10	3
16	3	10	27	25	9
17	0	9	26	50	8
18	0	10	21	1	3
19	6	9	20	100	13
20	2	11	23	25	5
21	6	8	25	50	8
22	2	8	24	1	2
23	4	8	28	10	8
24	5	8	26	25	10
25	4	11	24	10	1
26	5	10	27	1	10
27	3	11	29	10	7
28	4	10	21	100	7
29	1	8	26	100	0
30	0	10	25	10	8
31	3	8	28	10	5
32	7	11	25	50	8
33	4	8	22	1	5
34	6	8	22	1	14
35	5	8	21	1	7
36	3	11	25	100	14
37	3	8	21	10	0
38	1	10	22	1	8
39	2	11	21	100	12
40	2	11	20	50	11
41	0	9	22	100	10
42	0	8	29	100	4
43	2	10	20	100	7
44	3	10	22	25	3
45	6	8	25	10	9
46	3	11	29	1	1
47	1	9	26	50	7
48	2	10	21	50	7
49	7	10	23	10	7
50	6	11	23	1	15
51	7	10	30	50	12
52	0	9	28	25	4
53	3	11	25	100	5
54	7	10	24	1	9
55	2	8	22	1	8
56	6	8	29	50	2
57	0	8	20	50	12
58	6	11	28	10	7
59	2	9	28	1	3
60	1	9	20	25	11
61	2	8	27	10	1
62	6	9	22	100	3
63	6	9	26	10	6
64	6	9	21	10	8
65	0	11	24	1	7
66	5	10	22	10	7
67	0	10	20	10	9
68	2	8	21	1	11
69	1	9	22	50	12
70	4	11	22	10	3
71	6	9	22	1	2
72	0	9	30	10	15
73	3	10	25	10	10
74	7	10	27	100	13
75	0	8	30	10	1
76	7	9	25	1	15
77	5	10	20	1	14
78	1	8	25	1	11
79	2	11	24	50	5
80	6	9	21	1	8
81	7	10	30	100	15
82	0	8	27	50	8
83	5	8	26	100	10
84	0	10	25	10	10
85	1	9	28	10	9
86	3	11	28	100	15
87	3	9	22	10	2
88	1	8	22	100	12
89	1	8	21	25	1
90	0	9	30	50	15
91	0	9	24	25	14
92	1	9	21	10	3
93	3	10	23	50	1
94	2	9	28	10	15
95	7	8	23	10	11
96	6	9	25	50	15
97	0	9	29	50	6
98	3	9	27	1	5
99	7	11	29	10	12
